,id,name,start_timestamp,sport,league,teams,scores
0,,Golden State Warriors - Cleveland Cavaliers,2017-06-13 01:00:00+00:00,basketball,NBA,"['Golden State Warriors', 'Cleveland Cavaliers']","{'Golden State Warriors': 129, 'Cleveland Cavaliers': 120}"
1,,Cleveland Cavaliers - Golden State Warriors,2017-06-10 01:00:00+00:00,basketball,NBA,"['Cleveland Cavaliers', 'Golden State Warriors']","{'Cleveland Cavaliers': 137, 'Golden State Warriors': 116}"
2,,Cleveland Cavaliers - Golden State Warriors,2017-06-08 01:00:00+00:00,basketball,NBA,"['Cleveland Cavaliers', 'Golden State Warriors']","{'Cleveland Cavaliers': 113, 'Golden State Warriors': 118}"
3,,Golden State Warriors - Cleveland Cavaliers,2017-06-05 00:00:00+00:00,basketball,NBA,"['Golden State Warriors', 'Cleveland Cavaliers']","{'Golden State Warriors': 132, 'Cleveland Cavaliers': 113}"
4,,Golden State Warriors - Cleveland Cavaliers,2017-06-02 01:00:00+00:00,basketball,NBA,"['Golden State Warriors', 'Cleveland Cavaliers']","{'Golden State Warriors': 113, 'Cleveland Cavaliers': 91}"
5,,Boston Celtics - Cleveland Cavaliers,2017-05-26 00:30:00+00:00,basketball,NBA,"['Boston Celtics', 'Cleveland Cavaliers']","{'Boston Celtics': 102, 'Cleveland Cavaliers': 135}"
6,,Cleveland Cavaliers - Boston Celtics,2017-05-24 00:30:00+00:00,basketball,NBA,"['Cleveland Cavaliers', 'Boston Celtics']","{'Cleveland Cavaliers': 112, 'Boston Celtics': 99}"
7,,San Antonio Spurs - Golden State Warriors,2017-05-23 01:00:00+00:00,basketball,NBA,"['San Antonio Spurs', 'Golden State Warriors']","{'San Antonio Spurs': 115, 'Golden State Warriors': 129}"
8,,Cleveland Cavaliers - Boston Celtics,2017-05-22 00:30:00+00:00,basketball,NBA,"['Cleveland Cavaliers', 'Boston Celtics']","{'Cleveland Cavaliers': 108, 'Boston Celtics': 111}"
9,,San Antonio Spurs - Golden State Warriors,2017-05-21 01:00:00+00:00,basketball,NBA,"['San Antonio Spurs', 'Golden State Warriors']","{'San Antonio Spurs': 108, 'Golden State Warriors': 120}"
10,,Boston Celtics - Cleveland Cavaliers,2017-05-20 00:30:00+00:00,basketball,NBA,"['Boston Celtics', 'Cleveland Cavaliers']","{'Boston Celtics': 86, 'Cleveland Cavaliers': 130}"
11,,Boston Celtics - Cleveland Cavaliers,2017-05-18 00:30:00+00:00,basketball,NBA,"['Boston Celtics', 'Cleveland Cavaliers']","{'Boston Celtics': 104, 'Cleveland Cavaliers': 117}"
12,,Golden State Warriors - San Antonio Spurs,2017-05-17 01:00:00+00:00,basketball,NBA,"['Golden State Warriors', 'San Antonio Spurs']","{'Golden State Warriors': 136, 'San Antonio Spurs': 100}"
13,,Boston Celtics - Washington Wizards,2017-05-16 00:00:00+00:00,basketball,NBA,"['Boston Celtics', 'Washington Wizards']","{'Boston Celtics': 115, 'Washington Wizards': 105}"
14,,Golden State Warriors - San Antonio Spurs,2017-05-14 19:30:00+00:00,basketball,NBA,"['Golden State Warriors', 'San Antonio Spurs']","{'Golden State Warriors': 113, 'San Antonio Spurs': 111}"
15,,Washington Wizards - Boston Celtics,2017-05-13 00:00:00+00:00,basketball,NBA,"['Washington Wizards', 'Boston Celtics']","{'Washington Wizards': 92, 'Boston Celtics': 91}"
16,,Houston Rockets - San Antonio Spurs,2017-05-12 00:00:00+00:00,basketball,NBA,"['Houston Rockets', 'San Antonio Spurs']","{'Houston Rockets': 75, 'San Antonio Spurs': 114}"
17,,Boston Celtics - Washington Wizards,2017-05-11 00:00:00+00:00,basketball,NBA,"['Boston Celtics', 'Washington Wizards']","{'Boston Celtics': 123, 'Washington Wizards': 101}"
18,,San Antonio Spurs - Houston Rockets,2017-05-10 00:00:00+00:00,basketball,NBA,"['San Antonio Spurs', 'Houston Rockets']","{'San Antonio Spurs': 110, 'Houston Rockets': 107}"
19,,Utah Jazz - Golden State Warriors,2017-05-09 01:00:00+00:00,basketball,NBA,"['Utah Jazz', 'Golden State Warriors']","{'Utah Jazz': 95, 'Golden State Warriors': 121}"
20,,Houston Rockets - San Antonio Spurs,2017-05-08 01:00:00+00:00,basketball,NBA,"['Houston Rockets', 'San Antonio Spurs']","{'Houston Rockets': 125, 'San Antonio Spurs': 104}"
21,,Washington Wizards - Boston Celtics,2017-05-07 22:30:00+00:00,basketball,NBA,"['Washington Wizards', 'Boston Celtics']","{'Washington Wizards': 121, 'Boston Celtics': 102}"
22,,Toronto Raptors - Cleveland Cavaliers,2017-05-07 19:30:00+00:00,basketball,NBA,"['Toronto Raptors', 'Cleveland Cavaliers']","{'Toronto Raptors': 102, 'Cleveland Cavaliers': 109}"
23,,Utah Jazz - Golden State Warriors,2017-05-07 00:30:00+00:00,basketball,NBA,"['Utah Jazz', 'Golden State Warriors']","{'Utah Jazz': 91, 'Golden State Warriors': 102}"
24,,Houston Rockets - San Antonio Spurs,2017-05-06 01:30:00+00:00,basketball,NBA,"['Houston Rockets', 'San Antonio Spurs']","{'Houston Rockets': 92, 'San Antonio Spurs': 103}"
25,,Toronto Raptors - Cleveland Cavaliers,2017-05-05 23:00:00+00:00,basketball,NBA,"['Toronto Raptors', 'Cleveland Cavaliers']","{'Toronto Raptors': 94, 'Cleveland Cavaliers': 115}"
26,,Golden State Warriors - Utah Jazz,2017-05-05 02:30:00+00:00,basketball,NBA,"['Golden State Warriors', 'Utah Jazz']","{'Golden State Warriors': 115, 'Utah Jazz': 104}"
27,,Washington Wizards - Boston Celtics,2017-05-05 00:00:00+00:00,basketball,NBA,"['Washington Wizards', 'Boston Celtics']","{'Washington Wizards': 116, 'Boston Celtics': 89}"
28,,San Antonio Spurs - Houston Rockets,2017-05-04 01:30:00+00:00,basketball,NBA,"['San Antonio Spurs', 'Houston Rockets']","{'San Antonio Spurs': 121, 'Houston Rockets': 96}"
29,,Cleveland Cavaliers - Toronto Raptors,2017-05-03 23:00:00+00:00,basketball,NBA,"['Cleveland Cavaliers', 'Toronto Raptors']","{'Cleveland Cavaliers': 125, 'Toronto Raptors': 103}"
30,,Golden State Warriors - Utah Jazz,2017-05-03 02:30:00+00:00,basketball,NBA,"['Golden State Warriors', 'Utah Jazz']","{'Golden State Warriors': 106, 'Utah Jazz': 94}"
31,,Boston Celtics - Washington Wizards,2017-05-03 00:00:00+00:00,basketball,NBA,"['Boston Celtics', 'Washington Wizards']","{'Boston Celtics': 129, 'Washington Wizards': 119}"
32,,San Antonio Spurs - Houston Rockets,2017-05-02 01:30:00+00:00,basketball,NBA,"['San Antonio Spurs', 'Houston Rockets']","{'San Antonio Spurs': 99, 'Houston Rockets': 126}"
33,,Cleveland Cavaliers - Toronto Raptors,2017-05-01 23:00:00+00:00,basketball,NBA,"['Cleveland Cavaliers', 'Toronto Raptors']","{'Cleveland Cavaliers': 116, 'Toronto Raptors': 105}"
34,,Los Angeles Clippers - Utah Jazz,2017-04-30 19:30:00+00:00,basketball,NBA,"['Los Angeles Clippers', 'Utah Jazz']","{'Los Angeles Clippers': 91, 'Utah Jazz': 104}"
35,,Boston Celtics - Washington Wizards,2017-04-30 17:00:00+00:00,basketball,NBA,"['Boston Celtics', 'Washington Wizards']","{'Boston Celtics': 123, 'Washington Wizards': 111}"
36,,Utah Jazz - Los Angeles Clippers,2017-04-29 02:30:00+00:00,basketball,NBA,"['Utah Jazz', 'Los Angeles Clippers']","{'Utah Jazz': 93, 'Los Angeles Clippers': 98}"
37,,Chicago Bulls - Boston Celtics,2017-04-29 00:00:00+00:00,basketball,NBA,"['Chicago Bulls', 'Boston Celtics']","{'Chicago Bulls': 83, 'Boston Celtics': 105}"
38,,Atlanta Hawks - Washington Wizards,2017-04-28 23:30:00+00:00,basketball,NBA,"['Atlanta Hawks', 'Washington Wizards']","{'Atlanta Hawks': 99, 'Washington Wizards': 115}"
39,,Memphis Grizzlies - San Antonio Spurs,2017-04-28 01:30:00+00:00,basketball,NBA,"['Memphis Grizzlies', 'San Antonio Spurs']","{'Memphis Grizzlies': 96, 'San Antonio Spurs': 103}"
40,,Milwaukee Bucks - Toronto Raptors,2017-04-27 23:00:00+00:00,basketball,NBA,"['Milwaukee Bucks', 'Toronto Raptors']","{'Milwaukee Bucks': 89, 'Toronto Raptors': 92}"
41,,Boston Celtics - Chicago Bulls,2017-04-27 00:30:00+00:00,basketball,NBA,"['Boston Celtics', 'Chicago Bulls']","{'Boston Celtics': 108, 'Chicago Bulls': 97}"
42,,Washington Wizards - Atlanta Hawks,2017-04-26 22:00:00+00:00,basketball,NBA,"['Washington Wizards', 'Atlanta Hawks']","{'Washington Wizards': 103, 'Atlanta Hawks': 99}"
43,,Los Angeles Clippers - Utah Jazz,2017-04-26 02:30:00+00:00,basketball,NBA,"['Los Angeles Clippers', 'Utah Jazz']","{'Los Angeles Clippers': 92, 'Utah Jazz': 96}"
44,,San Antonio Spurs - Memphis Grizzlies,2017-04-26 01:00:00+00:00,basketball,NBA,"['San Antonio Spurs', 'Memphis Grizzlies']","{'San Antonio Spurs': 116, 'Memphis Grizzlies': 103}"
45,,Houston Rockets - Oklahoma City Thunder,2017-04-26 00:00:00+00:00,basketball,NBA,"['Houston Rockets', 'Oklahoma City Thunder']","{'Houston Rockets': 105, 'Oklahoma City Thunder': 99}"
46,,Portland Trail Blazers - Golden State Warriors,2017-04-25 02:30:00+00:00,basketball,NBA,"['Portland Trail Blazers', 'Golden State Warriors']","{'Portland Trail Blazers': 103, 'Golden State Warriors': 128}"
47,,Atlanta Hawks - Washington Wizards,2017-04-25 00:00:00+00:00,basketball,NBA,"['Atlanta Hawks', 'Washington Wizards']","{'Atlanta Hawks': 111, 'Washington Wizards': 101}"
48,,Toronto Raptors - Milwaukee Bucks,2017-04-24 23:00:00+00:00,basketball,NBA,"['Toronto Raptors', 'Milwaukee Bucks']","{'Toronto Raptors': 118, 'Milwaukee Bucks': 93}"
49,,Utah Jazz - Los Angeles Clippers,2017-04-24 01:00:00+00:00,basketball,NBA,"['Utah Jazz', 'Los Angeles Clippers']","{'Utah Jazz': 105, 'Los Angeles Clippers': 98}"
50,,Chicago Bulls - Boston Celtics,2017-04-23 22:30:00+00:00,basketball,NBA,"['Chicago Bulls', 'Boston Celtics']","{'Chicago Bulls': 95, 'Boston Celtics': 104}"
51,,Oklahoma City Thunder - Houston Rockets,2017-04-23 19:30:00+00:00,basketball,NBA,"['Oklahoma City Thunder', 'Houston Rockets']","{'Oklahoma City Thunder': 109, 'Houston Rockets': 113}"
52,,Indiana Pacers - Cleveland Cavaliers,2017-04-23 17:00:00+00:00,basketball,NBA,"['Indiana Pacers', 'Cleveland Cavaliers']","{'Indiana Pacers': 102, 'Cleveland Cavaliers': 106}"
53,,Portland Trail Blazers - Golden State Warriors,2017-04-23 02:30:00+00:00,basketball,NBA,"['Portland Trail Blazers', 'Golden State Warriors']","{'Portland Trail Blazers': 113, 'Golden State Warriors': 119}"
54,,Memphis Grizzlies - San Antonio Spurs,2017-04-23 00:00:00+00:00,basketball,NBA,"['Memphis Grizzlies', 'San Antonio Spurs']","{'Memphis Grizzlies': 110, 'San Antonio Spurs': 108}"
55,,Atlanta Hawks - Washington Wizards,2017-04-22 21:30:00+00:00,basketball,NBA,"['Atlanta Hawks', 'Washington Wizards']","{'Atlanta Hawks': 116, 'Washington Wizards': 98}"
56,,Milwaukee Bucks - Toronto Raptors,2017-04-22 19:00:00+00:00,basketball,NBA,"['Milwaukee Bucks', 'Toronto Raptors']","{'Milwaukee Bucks': 76, 'Toronto Raptors': 87}"
57,,Utah Jazz - Los Angeles Clippers,2017-04-22 02:00:00+00:00,basketball,NBA,"['Utah Jazz', 'Los Angeles Clippers']","{'Utah Jazz': 106, 'Los Angeles Clippers': 111}"
58,,Oklahoma City Thunder - Houston Rockets,2017-04-22 01:30:00+00:00,basketball,NBA,"['Oklahoma City Thunder', 'Houston Rockets']","{'Oklahoma City Thunder': 115, 'Houston Rockets': 113}"
59,,Chicago Bulls - Boston Celtics,2017-04-21 23:00:00+00:00,basketball,NBA,"['Chicago Bulls', 'Boston Celtics']","{'Chicago Bulls': 87, 'Boston Celtics': 104}"
60,,Memphis Grizzlies - San Antonio Spurs,2017-04-21 01:30:00+00:00,basketball,NBA,"['Memphis Grizzlies', 'San Antonio Spurs']","{'Memphis Grizzlies': 105, 'San Antonio Spurs': 94}"
61,,Milwaukee Bucks - Toronto Raptors,2017-04-21 00:00:00+00:00,basketball,NBA,"['Milwaukee Bucks', 'Toronto Raptors']","{'Milwaukee Bucks': 104, 'Toronto Raptors': 77}"
62,,Indiana Pacers - Cleveland Cavaliers,2017-04-20 23:00:00+00:00,basketball,NBA,"['Indiana Pacers', 'Cleveland Cavaliers']","{'Indiana Pacers': 114, 'Cleveland Cavaliers': 119}"
63,,Golden State Warriors - Portland Trail Blazers,2017-04-20 02:30:00+00:00,basketball,NBA,"['Golden State Warriors', 'Portland Trail Blazers']","{'Golden State Warriors': 110, 'Portland Trail Blazers': 81}"
64,,Houston Rockets - Oklahoma City Thunder,2017-04-20 00:00:00+00:00,basketball,NBA,"['Houston Rockets', 'Oklahoma City Thunder']","{'Houston Rockets': 115, 'Oklahoma City Thunder': 111}"
65,,Washington Wizards - Atlanta Hawks,2017-04-19 23:00:00+00:00,basketball,NBA,"['Washington Wizards', 'Atlanta Hawks']","{'Washington Wizards': 109, 'Atlanta Hawks': 101}"
66,,Los Angeles Clippers - Utah Jazz,2017-04-19 02:30:00+00:00,basketball,NBA,"['Los Angeles Clippers', 'Utah Jazz']","{'Los Angeles Clippers': 99, 'Utah Jazz': 91}"
67,,Boston Celtics - Chicago Bulls,2017-04-19 00:00:00+00:00,basketball,NBA,"['Boston Celtics', 'Chicago Bulls']","{'Boston Celtics': 97, 'Chicago Bulls': 111}"
68,,Toronto Raptors - Milwaukee Bucks,2017-04-18 23:00:00+00:00,basketball,NBA,"['Toronto Raptors', 'Milwaukee Bucks']","{'Toronto Raptors': 106, 'Milwaukee Bucks': 100}"
69,,San Antonio Spurs - Memphis Grizzlies,2017-04-18 01:30:00+00:00,basketball,NBA,"['San Antonio Spurs', 'Memphis Grizzlies']","{'San Antonio Spurs': 96, 'Memphis Grizzlies': 82}"
70,,Cleveland Cavaliers - Indiana Pacers,2017-04-17 23:00:00+00:00,basketball,NBA,"['Cleveland Cavaliers', 'Indiana Pacers']","{'Cleveland Cavaliers': 117, 'Indiana Pacers': 111}"
71,,Houston Rockets - Oklahoma City Thunder,2017-04-17 01:00:00+00:00,basketball,NBA,"['Houston Rockets', 'Oklahoma City Thunder']","{'Houston Rockets': 118, 'Oklahoma City Thunder': 87}"
72,,Boston Celtics - Chicago Bulls,2017-04-16 22:30:00+00:00,basketball,NBA,"['Boston Celtics', 'Chicago Bulls']","{'Boston Celtics': 102, 'Chicago Bulls': 106}"
73,,Golden State Warriors - Portland Trail Blazers,2017-04-16 19:30:00+00:00,basketball,NBA,"['Golden State Warriors', 'Portland Trail Blazers']","{'Golden State Warriors': 121, 'Portland Trail Blazers': 109}"
74,,Washington Wizards - Atlanta Hawks,2017-04-16 17:00:00+00:00,basketball,NBA,"['Washington Wizards', 'Atlanta Hawks']","{'Washington Wizards': 114, 'Atlanta Hawks': 107}"
75,,Los Angeles Clippers - Utah Jazz,2017-04-16 02:30:00+00:00,basketball,NBA,"['Los Angeles Clippers', 'Utah Jazz']","{'Los Angeles Clippers': 95, 'Utah Jazz': 97}"
76,,San Antonio Spurs - Memphis Grizzlies,2017-04-16 00:00:00+00:00,basketball,NBA,"['San Antonio Spurs', 'Memphis Grizzlies']","{'San Antonio Spurs': 111, 'Memphis Grizzlies': 82}"
77,,Toronto Raptors - Milwaukee Bucks,2017-04-15 21:30:00+00:00,basketball,NBA,"['Toronto Raptors', 'Milwaukee Bucks']","{'Toronto Raptors': 83, 'Milwaukee Bucks': 97}"
78,,Cleveland Cavaliers - Indiana Pacers,2017-04-15 19:00:00+00:00,basketball,NBA,"['Cleveland Cavaliers', 'Indiana Pacers']","{'Cleveland Cavaliers': 109, 'Indiana Pacers': 108}"
79,,Golden State Warriors - Los Angeles Lakers,2017-04-13 02:30:00+00:00,basketball,NBA,"['Golden State Warriors', 'Los Angeles Lakers']","{'Golden State Warriors': 109, 'Los Angeles Lakers': 94}"
80,,Los Angeles Clippers - Sacramento Kings,2017-04-13 02:30:00+00:00,basketball,NBA,"['Los Angeles Clippers', 'Sacramento Kings']","{'Los Angeles Clippers': 115, 'Sacramento Kings': 95}"
81,,Portland Trail Blazers - New Orleans Pelicans,2017-04-13 02:30:00+00:00,basketball,NBA,"['Portland Trail Blazers', 'New Orleans Pelicans']","{'Portland Trail Blazers': 100, 'New Orleans Pelicans': 103}"
82,,Utah Jazz - San Antonio Spurs,2017-04-13 01:00:00+00:00,basketball,NBA,"['Utah Jazz', 'San Antonio Spurs']","{'Utah Jazz': 101, 'San Antonio Spurs': 97}"
83,,Boston Celtics - Milwaukee Bucks,2017-04-13 00:00:00+00:00,basketball,NBA,"['Boston Celtics', 'Milwaukee Bucks']","{'Boston Celtics': 112, 'Milwaukee Bucks': 94}"
84,,Chicago Bulls - Brooklyn Nets,2017-04-13 00:00:00+00:00,basketball,NBA,"['Chicago Bulls', 'Brooklyn Nets']","{'Chicago Bulls': 112, 'Brooklyn Nets': 73}"
85,,Cleveland Cavaliers - Toronto Raptors,2017-04-13 00:00:00+00:00,basketball,NBA,"['Cleveland Cavaliers', 'Toronto Raptors']","{'Cleveland Cavaliers': 83, 'Toronto Raptors': 98}"
86,,Houston Rockets - Minnesota Timberwolves,2017-04-13 00:00:00+00:00,basketball,NBA,"['Houston Rockets', 'Minnesota Timberwolves']","{'Houston Rockets': 123, 'Minnesota Timberwolves': 118}"
87,,Indiana Pacers - Atlanta Hawks,2017-04-13 00:00:00+00:00,basketball,NBA,"['Indiana Pacers', 'Atlanta Hawks']","{'Indiana Pacers': 104, 'Atlanta Hawks': 86}"
88,,Memphis Grizzlies - Dallas Mavericks,2017-04-13 00:00:00+00:00,basketball,NBA,"['Memphis Grizzlies', 'Dallas Mavericks']","{'Memphis Grizzlies': 93, 'Dallas Mavericks': 100}"
89,,Miami Heat - Washington Wizards,2017-04-13 00:00:00+00:00,basketball,NBA,"['Miami Heat', 'Washington Wizards']","{'Miami Heat': 110, 'Washington Wizards': 102}"
90,,New York Knicks - Philadelphia 76ers,2017-04-13 00:00:00+00:00,basketball,NBA,"['New York Knicks', 'Philadelphia 76ers']","{'New York Knicks': 114, 'Philadelphia 76ers': 113}"
91,,Oklahoma City Thunder - Denver Nuggets,2017-04-13 00:00:00+00:00,basketball,NBA,"['Oklahoma City Thunder', 'Denver Nuggets']","{'Oklahoma City Thunder': 105, 'Denver Nuggets': 111}"
92,,Orlando Magic - Detroit Pistons,2017-04-13 00:00:00+00:00,basketball,NBA,"['Orlando Magic', 'Detroit Pistons']","{'Orlando Magic': 113, 'Detroit Pistons': 109}"
93,,Los Angeles Lakers - New Orleans Pelicans,2017-04-12 02:30:00+00:00,basketball,NBA,"['Los Angeles Lakers', 'New Orleans Pelicans']","{'Los Angeles Lakers': 108, 'New Orleans Pelicans': 96}"
94,,Sacramento Kings - Phoenix Suns,2017-04-12 02:30:00+00:00,basketball,NBA,"['Sacramento Kings', 'Phoenix Suns']","{'Sacramento Kings': 129, 'Phoenix Suns': 104}"
95,,Dallas Mavericks - Denver Nuggets,2017-04-12 00:30:00+00:00,basketball,NBA,"['Dallas Mavericks', 'Denver Nuggets']","{'Dallas Mavericks': 91, 'Denver Nuggets': 109}"
96,,Minnesota Timberwolves - Oklahoma City Thunder,2017-04-12 00:00:00+00:00,basketball,NBA,"['Minnesota Timberwolves', 'Oklahoma City Thunder']","{'Minnesota Timberwolves': 98, 'Oklahoma City Thunder': 100}"
97,,Atlanta Hawks - Charlotte Hornets,2017-04-11 23:30:00+00:00,basketball,NBA,"['Atlanta Hawks', 'Charlotte Hornets']","{'Atlanta Hawks': 103, 'Charlotte Hornets': 76}"
98,,Golden State Warriors - Utah Jazz,2017-04-11 02:30:00+00:00,basketball,NBA,"['Golden State Warriors', 'Utah Jazz']","{'Golden State Warriors': 99, 'Utah Jazz': 105}"
99,,Los Angeles Clippers - Houston Rockets,2017-04-11 02:30:00+00:00,basketball,NBA,"['Los Angeles Clippers', 'Houston Rockets']","{'Los Angeles Clippers': 125, 'Houston Rockets': 96}"
100,,Portland Trail Blazers - San Antonio Spurs,2017-04-11 02:00:00+00:00,basketball,NBA,"['Portland Trail Blazers', 'San Antonio Spurs']","{'Portland Trail Blazers': 99, 'San Antonio Spurs': 98}"
101,,Chicago Bulls - Orlando Magic,2017-04-11 00:00:00+00:00,basketball,NBA,"['Chicago Bulls', 'Orlando Magic']","{'Chicago Bulls': 122, 'Orlando Magic': 75}"
102,,Detroit Pistons - Washington Wizards,2017-04-11 00:00:00+00:00,basketball,NBA,"['Detroit Pistons', 'Washington Wizards']","{'Detroit Pistons': 101, 'Washington Wizards': 105}"
103,,Milwaukee Bucks - Charlotte Hornets,2017-04-11 00:00:00+00:00,basketball,NBA,"['Milwaukee Bucks', 'Charlotte Hornets']","{'Milwaukee Bucks': 89, 'Charlotte Hornets': 79}"
104,,Boston Celtics - Brooklyn Nets,2017-04-10 23:30:00+00:00,basketball,NBA,"['Boston Celtics', 'Brooklyn Nets']","{'Boston Celtics': 114, 'Brooklyn Nets': 105}"
105,,Miami Heat - Cleveland Cavaliers,2017-04-10 23:30:00+00:00,basketball,NBA,"['Miami Heat', 'Cleveland Cavaliers']","{'Miami Heat': 124, 'Cleveland Cavaliers': 121}"
106,,Philadelphia 76ers - Indiana Pacers,2017-04-10 23:00:00+00:00,basketball,NBA,"['Philadelphia 76ers', 'Indiana Pacers']","{'Philadelphia 76ers': 111, 'Indiana Pacers': 120}"
107,,Los Angeles Lakers - Minnesota Timberwolves,2017-04-10 01:30:00+00:00,basketball,NBA,"['Los Angeles Lakers', 'Minnesota Timberwolves']","{'Los Angeles Lakers': 110, 'Minnesota Timberwolves': 109}"
108,,Memphis Grizzlies - Detroit Pistons,2017-04-09 22:00:00+00:00,basketball,NBA,"['Memphis Grizzlies', 'Detroit Pistons']","{'Memphis Grizzlies': 90, 'Detroit Pistons': 103}"
109,,Phoenix Suns - Dallas Mavericks,2017-04-09 22:00:00+00:00,basketball,NBA,"['Phoenix Suns', 'Dallas Mavericks']","{'Phoenix Suns': 124, 'Dallas Mavericks': 111}"
110,,Sacramento Kings - Houston Rockets,2017-04-09 22:00:00+00:00,basketball,NBA,"['Sacramento Kings', 'Houston Rockets']","{'Sacramento Kings': 128, 'Houston Rockets': 135}"
111,,Denver Nuggets - Oklahoma City Thunder,2017-04-09 21:00:00+00:00,basketball,NBA,"['Denver Nuggets', 'Oklahoma City Thunder']","{'Denver Nuggets': 105, 'Oklahoma City Thunder': 106}"
112,,Atlanta Hawks - Cleveland Cavaliers,2017-04-09 19:30:00+00:00,basketball,NBA,"['Atlanta Hawks', 'Cleveland Cavaliers']","{'Atlanta Hawks': 126, 'Cleveland Cavaliers': 125}"
113,,New York Knicks - Toronto Raptors,2017-04-09 16:00:00+00:00,basketball,NBA,"['New York Knicks', 'Toronto Raptors']","{'New York Knicks': 97, 'Toronto Raptors': 110}"
114,,Golden State Warriors - New Orleans Pelicans,2017-04-09 02:30:00+00:00,basketball,NBA,"['Golden State Warriors', 'New Orleans Pelicans']","{'Golden State Warriors': 123, 'New Orleans Pelicans': 101}"
115,,Portland Trail Blazers - Utah Jazz,2017-04-09 02:00:00+00:00,basketball,NBA,"['Portland Trail Blazers', 'Utah Jazz']","{'Portland Trail Blazers': 101, 'Utah Jazz': 86}"
116,,San Antonio Spurs - Los Angeles Clippers,2017-04-09 00:30:00+00:00,basketball,NBA,"['San Antonio Spurs', 'Los Angeles Clippers']","{'San Antonio Spurs': 87, 'Los Angeles Clippers': 98}"
117,,Philadelphia 76ers - Milwaukee Bucks,2017-04-08 23:00:00+00:00,basketball,NBA,"['Philadelphia 76ers', 'Milwaukee Bucks']","{'Philadelphia 76ers': 82, 'Milwaukee Bucks': 90}"
118,,Washington Wizards - Miami Heat,2017-04-08 23:00:00+00:00,basketball,NBA,"['Washington Wizards', 'Miami Heat']","{'Washington Wizards': 103, 'Miami Heat': 106}"
119,,Charlotte Hornets - Boston Celtics,2017-04-08 22:00:00+00:00,basketball,NBA,"['Charlotte Hornets', 'Boston Celtics']","{'Charlotte Hornets': 114, 'Boston Celtics': 121}"
120,,Orlando Magic - Indiana Pacers,2017-04-08 22:00:00+00:00,basketball,NBA,"['Orlando Magic', 'Indiana Pacers']","{'Orlando Magic': 112, 'Indiana Pacers': 127}"
121,,Brooklyn Nets - Chicago Bulls,2017-04-08 21:00:00+00:00,basketball,NBA,"['Brooklyn Nets', 'Chicago Bulls']","{'Brooklyn Nets': 107, 'Chicago Bulls': 106}"
122,,Los Angeles Lakers - Sacramento Kings,2017-04-08 02:30:00+00:00,basketball,NBA,"['Los Angeles Lakers', 'Sacramento Kings']","{'Los Angeles Lakers': 98, 'Sacramento Kings': 94}"
123,,Phoenix Suns - Oklahoma City Thunder,2017-04-08 02:00:00+00:00,basketball,NBA,"['Phoenix Suns', 'Oklahoma City Thunder']","{'Phoenix Suns': 120, 'Oklahoma City Thunder': 99}"
124,,Denver Nuggets - New Orleans Pelicans,2017-04-08 01:00:00+00:00,basketball,NBA,"['Denver Nuggets', 'New Orleans Pelicans']","{'Denver Nuggets': 122, 'New Orleans Pelicans': 106}"
125,,Utah Jazz - Minnesota Timberwolves,2017-04-08 01:00:00+00:00,basketball,NBA,"['Utah Jazz', 'Minnesota Timberwolves']","{'Utah Jazz': 120, 'Minnesota Timberwolves': 113}"
126,,Dallas Mavericks - San Antonio Spurs,2017-04-08 00:30:00+00:00,basketball,NBA,"['Dallas Mavericks', 'San Antonio Spurs']","{'Dallas Mavericks': 89, 'San Antonio Spurs': 102}"
127,,Houston Rockets - Detroit Pistons,2017-04-08 00:00:00+00:00,basketball,NBA,"['Houston Rockets', 'Detroit Pistons']","{'Houston Rockets': 109, 'Detroit Pistons': 114}"
128,,Memphis Grizzlies - New York Knicks,2017-04-08 00:00:00+00:00,basketball,NBA,"['Memphis Grizzlies', 'New York Knicks']","{'Memphis Grizzlies': 101, 'New York Knicks': 88}"
129,,Cleveland Cavaliers - Atlanta Hawks,2017-04-07 23:30:00+00:00,basketball,NBA,"['Cleveland Cavaliers', 'Atlanta Hawks']","{'Cleveland Cavaliers': 100, 'Atlanta Hawks': 114}"
130,,Toronto Raptors - Miami Heat,2017-04-07 23:30:00+00:00,basketball,NBA,"['Toronto Raptors', 'Miami Heat']","{'Toronto Raptors': 96, 'Miami Heat': 94}"
131,,Portland Trail Blazers - Minnesota Timberwolves,2017-04-07 02:30:00+00:00,basketball,NBA,"['Portland Trail Blazers', 'Minnesota Timberwolves']","{'Portland Trail Blazers': 105, 'Minnesota Timberwolves': 98}"
132,,Atlanta Hawks - Boston Celtics,2017-04-07 00:00:00+00:00,basketball,NBA,"['Atlanta Hawks', 'Boston Celtics']","{'Atlanta Hawks': 123, 'Boston Celtics': 116}"
133,,New York Knicks - Washington Wizards,2017-04-06 23:30:00+00:00,basketball,NBA,"['New York Knicks', 'Washington Wizards']","{'New York Knicks': 103, 'Washington Wizards': 106}"
134,,Indiana Pacers - Milwaukee Bucks,2017-04-06 23:00:00+00:00,basketball,NBA,"['Indiana Pacers', 'Milwaukee Bucks']","{'Indiana Pacers': 104, 'Milwaukee Bucks': 89}"
135,,Orlando Magic - Brooklyn Nets,2017-04-06 23:00:00+00:00,basketball,NBA,"['Orlando Magic', 'Brooklyn Nets']","{'Orlando Magic': 115, 'Brooklyn Nets': 107}"
