,id,name,start_timestamp,sport,league,teams,scores
934,,Dallas Mavericks - Sacramento Kings,2016-12-08 01:30:00+00:00,basketball,NBA,"['Dallas Mavericks', 'Sacramento Kings']","{'Dallas Mavericks': 89, 'Sacramento Kings': 120}"
935,,Houston Rockets - Los Angeles Lakers,2016-12-08 01:00:00+00:00,basketball,NBA,"['Houston Rockets', 'Los Angeles Lakers']","{'Houston Rockets': 134, 'Los Angeles Lakers': 95}"
936,,Milwaukee Bucks - Portland Trail Blazers,2016-12-08 01:00:00+00:00,basketball,NBA,"['Milwaukee Bucks', 'Portland Trail Blazers']","{'Milwaukee Bucks': 115, 'Portland Trail Blazers': 107}"
937,,New York Knicks - Cleveland Cavaliers,2016-12-08 01:00:00+00:00,basketball,NBA,"['New York Knicks', 'Cleveland Cavaliers']","{'New York Knicks': 94, 'Cleveland Cavaliers': 126}"
938,,Atlanta Hawks - Miami Heat,2016-12-08 00:30:00+00:00,basketball,NBA,"['Atlanta Hawks', 'Miami Heat']","{'Atlanta Hawks': 103, 'Miami Heat': 95}"
939,,Brooklyn Nets - Denver Nuggets,2016-12-08 00:30:00+00:00,basketball,NBA,"['Brooklyn Nets', 'Denver Nuggets']","{'Brooklyn Nets': 116, 'Denver Nuggets': 111}"
940,,Charlotte Hornets - Detroit Pistons,2016-12-08 00:00:00+00:00,basketball,NBA,"['Charlotte Hornets', 'Detroit Pistons']","{'Charlotte Hornets': 87, 'Detroit Pistons': 77}"
941,,Orlando Magic - Boston Celtics,2016-12-08 00:00:00+00:00,basketball,NBA,"['Orlando Magic', 'Boston Celtics']","{'Orlando Magic': 87, 'Boston Celtics': 117}"
942,,Utah Jazz - Phoenix Suns,2016-12-07 02:00:00+00:00,basketball,NBA,"['Utah Jazz', 'Phoenix Suns']","{'Utah Jazz': 112, 'Phoenix Suns': 105}"
943,,Memphis Grizzlies - Philadelphia 76ers,2016-12-07 01:00:00+00:00,basketball,NBA,"['Memphis Grizzlies', 'Philadelphia 76ers']","{'Memphis Grizzlies': 96, 'Philadelphia 76ers': 91}"
944,,Minnesota Timberwolves - San Antonio Spurs,2016-12-07 01:00:00+00:00,basketball,NBA,"['Minnesota Timberwolves', 'San Antonio Spurs']","{'Minnesota Timberwolves': 91, 'San Antonio Spurs': 105}"
945,,Detroit Pistons - Chicago Bulls,2016-12-07 00:30:00+00:00,basketball,NBA,"['Detroit Pistons', 'Chicago Bulls']","{'Detroit Pistons': 102, 'Chicago Bulls': 91}"
946,,Miami Heat - New York Knicks,2016-12-07 00:30:00+00:00,basketball,NBA,"['Miami Heat', 'New York Knicks']","{'Miami Heat': 103, 'New York Knicks': 114}"
947,,Washington Wizards - Orlando Magic,2016-12-07 00:00:00+00:00,basketball,NBA,"['Washington Wizards', 'Orlando Magic']","{'Washington Wizards': 116, 'Orlando Magic': 124}"
948,,Golden State Warriors - Indiana Pacers,2016-12-06 03:30:00+00:00,basketball,NBA,"['Golden State Warriors', 'Indiana Pacers']","{'Golden State Warriors': 142, 'Indiana Pacers': 106}"
949,,Los Angeles Lakers - Utah Jazz,2016-12-06 03:30:00+00:00,basketball,NBA,"['Los Angeles Lakers', 'Utah Jazz']","{'Los Angeles Lakers': 101, 'Utah Jazz': 107}"
950,,Dallas Mavericks - Charlotte Hornets,2016-12-06 01:30:00+00:00,basketball,NBA,"['Dallas Mavericks', 'Charlotte Hornets']","{'Dallas Mavericks': 101, 'Charlotte Hornets': 109}"
951,,Chicago Bulls - Portland Trail Blazers,2016-12-06 01:00:00+00:00,basketball,NBA,"['Chicago Bulls', 'Portland Trail Blazers']","{'Chicago Bulls': 110, 'Portland Trail Blazers': 112}"
952,,Houston Rockets - Boston Celtics,2016-12-06 01:00:00+00:00,basketball,NBA,"['Houston Rockets', 'Boston Celtics']","{'Houston Rockets': 107, 'Boston Celtics': 106}"
953,,Milwaukee Bucks - San Antonio Spurs,2016-12-06 01:00:00+00:00,basketball,NBA,"['Milwaukee Bucks', 'San Antonio Spurs']","{'Milwaukee Bucks': 96, 'San Antonio Spurs': 97}"
954,,New Orleans Pelicans - Memphis Grizzlies,2016-12-06 01:00:00+00:00,basketball,NBA,"['New Orleans Pelicans', 'Memphis Grizzlies']","{'New Orleans Pelicans': 108, 'Memphis Grizzlies': 110}"
955,,Atlanta Hawks - Oklahoma City Thunder,2016-12-06 00:30:00+00:00,basketball,NBA,"['Atlanta Hawks', 'Oklahoma City Thunder']","{'Atlanta Hawks': 99, 'Oklahoma City Thunder': 102}"
956,,Brooklyn Nets - Washington Wizards,2016-12-06 00:30:00+00:00,basketball,NBA,"['Brooklyn Nets', 'Washington Wizards']","{'Brooklyn Nets': 113, 'Washington Wizards': 118}"
957,,Toronto Raptors - Cleveland Cavaliers,2016-12-06 00:30:00+00:00,basketball,NBA,"['Toronto Raptors', 'Cleveland Cavaliers']","{'Toronto Raptors': 112, 'Cleveland Cavaliers': 116}"
958,,Philadelphia 76ers - Denver Nuggets,2016-12-06 00:00:00+00:00,basketball,NBA,"['Philadelphia 76ers', 'Denver Nuggets']","{'Philadelphia 76ers': 98, 'Denver Nuggets': 106}"
959,,Los Angeles Clippers - Indiana Pacers,2016-12-05 02:30:00+00:00,basketball,NBA,"['Los Angeles Clippers', 'Indiana Pacers']","{'Los Angeles Clippers': 102, 'Indiana Pacers': 111}"
960,,New York Knicks - Sacramento Kings,2016-12-05 00:30:00+00:00,basketball,NBA,"['New York Knicks', 'Sacramento Kings']","{'New York Knicks': 106, 'Sacramento Kings': 98}"
961,,Oklahoma City Thunder - New Orleans Pelicans,2016-12-05 00:00:00+00:00,basketball,NBA,"['Oklahoma City Thunder', 'New Orleans Pelicans']","{'Oklahoma City Thunder': 101, 'New Orleans Pelicans': 92}"
962,,Detroit Pistons - Orlando Magic,2016-12-04 23:00:00+00:00,basketball,NBA,"['Detroit Pistons', 'Orlando Magic']","{'Detroit Pistons': 92, 'Orlando Magic': 98}"
963,,Golden State Warriors - Phoenix Suns,2016-12-04 03:30:00+00:00,basketball,NBA,"['Golden State Warriors', 'Phoenix Suns']","{'Golden State Warriors': 138, 'Phoenix Suns': 109}"
964,,Portland Trail Blazers - Miami Heat,2016-12-04 03:00:00+00:00,basketball,NBA,"['Portland Trail Blazers', 'Miami Heat']","{'Portland Trail Blazers': 99, 'Miami Heat': 92}"
965,,Utah Jazz - Denver Nuggets,2016-12-04 02:00:00+00:00,basketball,NBA,"['Utah Jazz', 'Denver Nuggets']","{'Utah Jazz': 105, 'Denver Nuggets': 98}"
966,,Dallas Mavericks - Chicago Bulls,2016-12-04 01:30:00+00:00,basketball,NBA,"['Dallas Mavericks', 'Chicago Bulls']","{'Dallas Mavericks': 107, 'Chicago Bulls': 82}"
967,,Memphis Grizzlies - Los Angeles Lakers,2016-12-04 01:00:00+00:00,basketball,NBA,"['Memphis Grizzlies', 'Los Angeles Lakers']","{'Memphis Grizzlies': 103, 'Los Angeles Lakers': 100}"
968,,Philadelphia 76ers - Boston Celtics,2016-12-04 00:30:00+00:00,basketball,NBA,"['Philadelphia 76ers', 'Boston Celtics']","{'Philadelphia 76ers': 106, 'Boston Celtics': 107}"
969,,Toronto Raptors - Atlanta Hawks,2016-12-04 00:30:00+00:00,basketball,NBA,"['Toronto Raptors', 'Atlanta Hawks']","{'Toronto Raptors': 128, 'Atlanta Hawks': 84}"
970,,Charlotte Hornets - Minnesota Timberwolves,2016-12-04 00:00:00+00:00,basketball,NBA,"['Charlotte Hornets', 'Minnesota Timberwolves']","{'Charlotte Hornets': 120, 'Minnesota Timberwolves': 125}"
971,,Milwaukee Bucks - Brooklyn Nets,2016-12-03 22:00:00+00:00,basketball,NBA,"['Milwaukee Bucks', 'Brooklyn Nets']","{'Milwaukee Bucks': 112, 'Brooklyn Nets': 103}"
972,,Denver Nuggets - Houston Rockets,2016-12-03 03:30:00+00:00,basketball,NBA,"['Denver Nuggets', 'Houston Rockets']","{'Denver Nuggets': 110, 'Houston Rockets': 128}"
973,,San Antonio Spurs - Washington Wizards,2016-12-03 01:30:00+00:00,basketball,NBA,"['San Antonio Spurs', 'Washington Wizards']","{'San Antonio Spurs': 107, 'Washington Wizards': 105}"
